Time(s),IDD(A),ISS(A),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),A0(V),B3(V),B2(V),B0(V),A2(V),B1(V),A1(V),A3(V)
    14.300e-9,  1.012580e-3,  0.000000e-3,     0.002,     0.000,     0.741,     0.055,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650,     0.650
    14.310e-9,  1.315125e-3,  0.000000e-3,     0.001,     0.000,     0.751,     0.048,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650,     0.650
    14.320e-9,  1.393643e-3,  0.000000e-3,     0.001,     0.000,     0.742,     0.043,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650,     0.650
    14.330e-9,  1.342484e-3,  0.000000e-3,     0.001,     0.000,     0.721,     0.039,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650,     0.650
    14.340e-9,  1.199296e-3,  0.000000e-3,     0.001,     0.000,     0.693,     0.037,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650,     0.650
    14.350e-9,  0.999412e-3,  0.000000e-3,     0.001,     0.000,     0.665,     0.037,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650,     0.650
    14.360e-9,  0.632432e-3,  0.000000e-3,     0.001,     0.000,     0.641,     0.041,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650,     0.650
    14.370e-9,  0.725129e-3,  0.000000e-3,     0.001,     0.000,     0.624,     0.048,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650,     0.650
    14.380e-9,  0.959774e-3,  0.000000e-3,     0.000,     0.000,     0.614,     0.062,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650,     0.650
    14.390e-9,  1.180599e-3,  0.000000e-3,     0.000,     0.000,     0.611,     0.082,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650,     0.650
    14.400e-9,  1.375017e-3,  0.000000e-3,     0.000,     0.000,     0.613,     0.109,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000
    14.410e-9,  5.685240e-3,  0.000000e-3,     0.000,     0.000,     0.619,     0.145,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000
    14.420e-9,  5.617766e-3,  0.000000e-3,     0.000,     0.000,     0.628,     0.186,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000
    14.430e-9,  5.305202e-3,  0.000000e-3,     0.000,     0.000,     0.636,     0.228,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000
    14.440e-9,  5.048527e-3,  0.000000e-3,     0.000,     0.000,     0.644,     0.268,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000
    14.450e-9,  4.620478e-3,  0.000000e-3,     0.000,     0.000,     0.651,     0.303,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000
    14.460e-9,  3.843727e-3,  0.000000e-3,    -0.000,     0.000,     0.656,     0.331,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000
    14.470e-9,  3.200629e-3,  0.000000e-3,    -0.000,     0.000,     0.660,     0.354,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000
    14.480e-9,  3.207224e-3,  0.000000e-3,    -0.000,     0.000,     0.663,     0.372,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000
    14.490e-9,  3.003111e-3,  0.000000e-3,    -0.000,     0.000,     0.663,     0.384,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000
    14.500e-9,  2.194117e-3,  0.000000e-3,    -0.000,     0.000,     0.659,     0.389,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000
    14.510e-9,  1.488586e-3,  0.000000e-3,    -0.000,     0.000,     0.648,     0.386,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000
    14.520e-9,  2.208162e-3,  0.000000e-3,    -0.000,     0.000,     0.631,     0.375,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000
    14.530e-9,  2.560095e-3,  0.000000e-3,    -0.000,     0.000,     0.608,     0.359,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000
    14.540e-9,  2.375878e-3,  0.000000e-3,    -0.000,    -0.000,     0.580,     0.338,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000
    14.550e-9,  1.946092e-3,  0.000000e-3,    -0.000,    -0.000,     0.549,     0.315,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000
    14.560e-9,  1.223404e-3,  0.000000e-3,    -0.000,    -0.000,     0.517,     0.290,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000
    14.570e-9,  0.809960e-3,  0.000000e-3,    -0.000,    -0.000,     0.484,     0.265,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000
    14.580e-9,  1.034656e-3,  0.000000e-3,    -0.000,    -0.000,     0.453,     0.241,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000
    14.590e-9,  1.065553e-3,  0.000000e-3,    -0.000,    -0.000,     0.423,     0.216,     0.001,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000
    14.600e-9,  0.868154e-3,  0.000000e-3,    -0.000,    -0.000,     0.393,     0.192,     0.002,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000
    14.610e-9,  1.461230e-3,  0.000000e-3,    -0.000,    -0.000,     0.364,     0.169,     0.004,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000
    14.620e-9,  1.530861e-3,  0.000000e-3,    -0.000,    -0.000,     0.333,     0.145,     0.008,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000
    14.630e-9,  1.725727e-3,  0.000000e-3,    -0.000,    -0.000,     0.303,     0.124,     0.012,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000
    14.640e-9,  1.749334e-3,  0.000000e-3,    -0.000,    -0.000,     0.273,     0.103,     0.015,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000
    14.650e-9,  1.709887e-3,  0.000000e-3,    -0.000,    -0.000,     0.243,     0.085,     0.017,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000
    14.660e-9,  1.717999e-3,  0.000000e-3,    -0.000,    -0.000,     0.215,     0.068,     0.019,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000
    14.670e-9,  1.662055e-3,  0.000000e-3,    -0.000,    -0.000,     0.187,     0.052,     0.020,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000
    14.680e-9,  1.506911e-3,  0.000000e-3,     0.000,    -0.000,     0.161,     0.038,     0.020,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000
    14.690e-9,  1.303160e-3,  0.000000e-3,     0.000,    -0.000,     0.136,     0.026,     0.020,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000
    14.700e-9,  1.534064e-3,  0.000000e-3,     0.000,    -0.000,     0.112,     0.015,     0.019,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000
    14.710e-9,  1.690374e-3,  0.000000e-3,     0.000,     0.000,     0.091,     0.006,     0.018,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000
    14.720e-9,  1.660328e-3,  0.000000e-3,     0.000,     0.000,     0.071,    -0.001,     0.016,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000
    14.730e-9,  1.902521e-3,  0.000000e-3,     0.000,     0.000,     0.053,    -0.007,     0.014,     0.000,     0.001,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000
    14.740e-9,  1.974579e-3,  0.000000e-3,     0.000,     0.000,     0.037,    -0.011,     0.012,     0.000,     0.001,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000
    14.750e-9,  1.860687e-3,  0.000000e-3,     0.000,     0.000,     0.023,    -0.015,     0.010,     0.000,     0.004,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000
    14.760e-9,  1.276227e-3,  0.000000e-3,     0.000,     0.000,     0.011,    -0.017,     0.008,     0.000,     0.008,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000
    14.770e-9,  1.027294e-3,  0.000000e-3,     0.000,     0.000,     0.001,    -0.018,     0.006,     0.000,     0.016,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000
    14.780e-9,  1.126939e-3,  0.000000e-3,     0.000,     0.000,    -0.006,    -0.019,     0.005,     0.000,     0.029,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000
    14.790e-9,  1.272169e-3,  0.000000e-3,     0.000,     0.000,    -0.013,    -0.018,     0.003,     0.000,     0.048,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000
    14.800e-9,  1.299744e-3,  0.000000e-3,     0.000,     0.000,    -0.017,    -0.018,     0.002,     0.000,     0.074,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650
    14.810e-9,  2.574661e-3,  0.000000e-3,     0.000,     0.000,    -0.020,    -0.016,     0.001,     0.000,     0.108,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650
    14.820e-9,  2.481517e-3,  0.000000e-3,     0.000,     0.000,    -0.022,    -0.015,     0.000,     0.000,     0.147,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650
    14.830e-9,  2.168910e-3,  0.000000e-3,     0.000,     0.000,    -0.023,    -0.013,    -0.000,     0.000,     0.187,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650
    14.840e-9,  1.971292e-3,  0.000000e-3,     0.000,     0.000,    -0.023,    -0.012,    -0.001,     0.000,     0.226,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650
    14.850e-9,  1.846315e-3,  0.000000e-3,     0.000,     0.000,    -0.023,    -0.010,    -0.001,     0.000,     0.260,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650
    14.860e-9,  1.746759e-3,  0.000000e-3,     0.000,     0.000,    -0.022,    -0.008,    -0.002,     0.000,     0.287,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650
    14.870e-9,  1.559941e-3,  0.000000e-3,     0.000,     0.000,    -0.021,    -0.007,    -0.002,     0.000,     0.309,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650
    14.880e-9,  1.317861e-3,  0.000000e-3,     0.000,     0.000,    -0.019,    -0.005,    -0.002,     0.000,     0.326,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650
    14.890e-9,  1.207613e-3,  0.000000e-3,     0.000,     0.000,    -0.017,    -0.004,    -0.002,     0.000,     0.337,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650
    14.900e-9,  1.182022e-3,  0.000000e-3,     0.000,     0.000,    -0.015,    -0.003,    -0.002,     0.000,     0.342,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650
    14.910e-9,  1.602253e-3,  0.000000e-3,     0.000,     0.000,    -0.012,    -0.002,    -0.002,     0.000,     0.339,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650
    14.920e-9,  1.911968e-3,  0.000000e-3,    -0.000,     0.000,    -0.010,    -0.001,    -0.002,     0.000,     0.329,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650
    14.930e-9,  2.046812e-3,  0.000000e-3,    -0.000,     0.000,    -0.008,     0.000,    -0.001,     0.001,     0.313,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650
    14.940e-9,  2.016276e-3,  0.000000e-3,    -0.000,     0.000,    -0.006,     0.001,    -0.001,     0.003,     0.293,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650
    14.950e-9,  1.859305e-3,  0.000000e-3,    -0.000,     0.000,    -0.005,     0.001,    -0.001,     0.006,     0.269,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650
    14.960e-9,  1.311234e-3,  0.000000e-3,    -0.000,     0.000,    -0.003,     0.001,    -0.001,     0.013,     0.245,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650
    14.970e-9,  0.927590e-3,  0.000000e-3,    -0.000,     0.000,    -0.002,     0.002,    -0.001,     0.025,     0.220,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650
    14.980e-9,  0.880247e-3,  0.000000e-3,    -0.000,     0.000,    -0.001,     0.002,    -0.001,     0.042,     0.196,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650
    14.990e-9,  0.890697e-3,  0.000000e-3,    -0.000,     0.000,     0.000,     0.002,    -0.001,     0.067,     0.173,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650
    15.000e-9,  1.004307e-3,  0.000000e-3,     0.000,     0.000,     0.001,     0.002,    -0.001,     0.099,     0.151,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650
    15.010e-9,  1.847735e-3,  0.000000e-3,     0.000,     0.000,     0.001,     0.002,    -0.000,     0.140,     0.130,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650
    15.020e-9,  1.993529e-3,  0.000000e-3,     0.000,     0.000,     0.002,     0.002,     0.000,     0.189,     0.110,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650
    15.030e-9,  1.917566e-3,  0.000000e-3,     0.000,     0.000,     0.002,     0.001,     0.001,     0.248,     0.092,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650
    15.040e-9,  1.782005e-3,  0.000000e-3,     0.000,     0.000,     0.002,     0.001,     0.001,     0.315,     0.076,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650
    15.050e-9,  1.647464e-3,  0.000000e-3,     0.000,     0.000,     0.002,     0.001,     0.001,     0.388,     0.061,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650
    15.060e-9,  1.397848e-3,  0.000000e-3,     0.000,     0.000,     0.002,     0.001,     0.001,     0.466,     0.048,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650
    15.070e-9,  1.308086e-3,  0.000000e-3,     0.000,     0.000,     0.002,     0.001,     0.001,     0.546,     0.037,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650
    15.080e-9,  0.971263e-3,  0.000000e-3,     0.000,     0.000,     0.002,     0.001,     0.001,     0.621,     0.028,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650
    15.090e-9,  0.914764e-3,  0.000000e-3,     0.000,     0.000,     0.002,     0.001,     0.001,     0.683,     0.020,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650
    15.100e-9,  0.937709e-3,  0.000000e-3,     0.000,     0.000,     0.002,     0.000,     0.001,     0.727,     0.013,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.650
    15.110e-9,  1.313824e-3,  0.000000e-3,     0.000,     0.000,     0.001,     0.000,     0.001,     0.748,     0.007,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.650
    15.120e-9,  1.387035e-3,  0.000000e-3,     0.000,     0.000,     0.001,     0.000,     0.001,     0.749,     0.003,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.650
    15.130e-9,  1.373531e-3,  0.000000e-3,     0.000,     0.000,     0.001,     0.000,     0.001,     0.733,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.650
    15.140e-9,  1.195399e-3,  0.000000e-3,     0.000,     0.000,     0.001,     0.000,     0.001,     0.708,    -0.003,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.650
    15.150e-9,  0.998190e-3,  0.000000e-3,     0.000,     0.000,     0.001,    -0.000,     0.001,     0.679,    -0.004,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.650
    15.160e-9,  0.626843e-3,  0.000000e-3,     0.000,     0.000,     0.000,    -0.000,     0.001,     0.653,    -0.003,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.650
    15.170e-9,  0.543267e-3,  0.000000e-3,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.633,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.650
    15.180e-9,  0.668457e-3,  0.000000e-3,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.619,     0.008,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.650
    15.190e-9,  0.744435e-3,  0.000000e-3,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.612,     0.021,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650,     0.650,     0.650
    15.200e-9,  0.862727e-3,  0.000000e-3,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.612,     0.041,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000
    15.210e-9,  3.063108e-3,  0.000000e-3,     0.000,     0.000,    -0.000,    -0.000,     0.000,     0.616,     0.068,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000
    15.220e-9,  3.025316e-3,  0.000000e-3,     0.000,     0.000,    -0.000,    -0.000,     0.000,     0.623,     0.099,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000
