Time(s),IDD(A),ISS(A),P1(V),P0(V),P3(V),P2(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P4(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P5(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P6(V),P7(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),B2(V),B3(V),A1(V),A2(V),B0(V),B1(V),A0(V),A3(V)
    22.090e-9, 13.282445e-3,  0.000000e-3,     0.000,     0.000,     0.751,     0.000,     0.759,     0.000,     0.011,     0.724,     0.663,     0.002,     0.004,     0.767,     0.000,    -0.027,     0.000,     0.000,     0.000,     0.000,     0.671,     0.010,    -0.007,    -0.004,     0.000,     0.706,     0.000,     0.750,     0.000,     0.000,     0.750,     0.750,     0.750,     0.750
    22.100e-9, 14.147266e-3,  0.000000e-3,     0.000,     0.000,     0.750,     0.000,     0.758,     0.000,     0.038,     0.698,     0.611,     0.001,     0.032,     0.742,     0.000,     0.031,     0.000,     0.000,     0.000,     0.000,     0.619,     0.009,    -0.004,     0.010,     0.000,     0.677,     0.000,     0.750,     0.750,     0.000,     0.750,     0.750,     0.000,     0.750
    22.110e-9, 15.223926e-3,  0.000000e-3,     0.000,     0.000,     0.750,     0.000,     0.744,     0.000,     0.079,     0.664,     0.549,     0.001,     0.073,     0.710,     0.000,     0.097,     0.000,     0.000,     0.000,     0.000,     0.558,     0.010,    -0.001,     0.042,     0.000,     0.639,     0.000,     0.750,     0.750,     0.000,     0.750,     0.750,     0.000,     0.750
    22.120e-9, 14.416764e-3,  0.000000e-3,     0.000,     0.000,     0.750,     0.000,     0.718,     0.000,     0.132,     0.618,     0.481,     0.001,     0.126,     0.668,     0.000,     0.170,     0.000,     0.000,     0.000,     0.000,     0.490,     0.009,     0.001,     0.087,     0.000,     0.588,     0.000,     0.750,     0.750,     0.000,     0.750,     0.750,     0.000,     0.750
    22.130e-9, 15.952754e-3,  0.000000e-3,     0.000,     0.000,     0.750,     0.000,     0.681,     0.000,     0.193,     0.562,     0.406,     0.000,     0.188,     0.614,     0.000,     0.247,     0.000,     0.000,     0.000,     0.000,     0.416,     0.010,     0.002,     0.142,     0.000,     0.528,     0.000,     0.750,     0.750,     0.000,     0.750,     0.750,     0.000,     0.750
    22.140e-9, 17.197977e-3,  0.000000e-3,     0.002,     0.000,     0.750,     0.000,     0.637,     0.000,     0.262,     0.497,     0.326,     0.000,     0.257,     0.551,     0.000,     0.329,     0.000,     0.000,     0.000,     0.000,     0.336,     0.009,     0.004,     0.206,     0.000,     0.460,     0.000,     0.750,     0.750,     0.000,     0.750,     0.750,     0.000,     0.750
    22.150e-9, 17.220697e-3,  0.000000e-3,     0.009,     0.000,     0.750,     0.000,     0.590,     0.000,     0.336,     0.426,     0.243,    -0.000,     0.332,     0.481,     0.000,     0.415,     0.000,     0.000,     0.000,     0.000,     0.253,     0.010,     0.004,     0.276,     0.000,     0.387,     0.000,     0.750,     0.750,     0.000,     0.750,     0.750,     0.750,     0.750
    22.160e-9, 14.975364e-3,  0.000000e-3,     0.030,     0.000,     0.750,    -0.000,     0.542,     0.000,     0.416,     0.349,     0.156,    -0.000,     0.411,     0.405,     0.000,     0.503,     0.000,     0.000,     0.000,     0.000,     0.167,     0.009,     0.004,     0.353,     0.000,     0.308,     0.000,     0.750,     0.750,     0.000,     0.750,     0.750,     0.750,     0.750
    22.170e-9, 13.429417e-3,  0.000000e-3,     0.066,     0.000,     0.750,    -0.000,     0.496,     0.000,     0.499,     0.267,     0.073,    -0.000,     0.495,     0.325,     0.000,     0.594,     0.000,     0.000,     0.000,     0.000,     0.085,     0.010,     0.004,     0.434,     0.000,     0.226,     0.000,     0.750,     0.750,     0.000,     0.750,     0.750,     0.750,     0.750
    22.180e-9, 12.228039e-3,  0.000000e-3,     0.115,     0.000,     0.750,    -0.000,     0.455,     0.000,     0.586,     0.186,    -0.000,    -0.001,     0.582,     0.242,     0.000,     0.686,     0.000,     0.000,     0.000,     0.000,     0.012,     0.009,     0.004,     0.518,     0.000,     0.147,     0.000,     0.750,     0.750,     0.000,     0.750,     0.750,     0.750,     0.750
    22.190e-9, 12.520085e-3,  0.000000e-3,     0.173,     0.000,     0.750,    -0.000,     0.419,     0.000,     0.675,     0.109,    -0.058,    -0.001,     0.671,     0.163,     0.000,     0.780,     0.000,     0.000,     0.000,     0.000,    -0.046,     0.010,     0.004,     0.606,     0.000,     0.075,     0.000,     0.750,     0.750,     0.000,     0.750,     0.750,     0.750,     0.750
    22.200e-9, 12.915625e-3,  0.000000e-3,     0.240,     0.000,     0.750,    -0.000,     0.391,    -0.000,     0.767,     0.041,    -0.096,    -0.001,     0.762,     0.091,     0.000,     0.833,     0.000,     0.000,     0.000,     0.000,    -0.087,     0.009,     0.003,     0.695,     0.000,     0.013,     0.000,     0.750,     0.000,     0.750,     0.750,     0.750,     0.000,     0.750
    22.210e-9, 19.605860e-3,  0.000000e-3,     0.313,     0.000,     0.750,    -0.000,     0.374,    -0.000,     0.827,    -0.016,    -0.116,    -0.000,     0.825,     0.027,     0.000,     0.858,     0.000,     0.000,     0.000,     0.000,    -0.110,     0.010,     0.004,     0.784,     0.000,    -0.037,     0.000,     0.750,     0.000,     0.750,     0.750,     0.750,     0.000,     0.750
    22.220e-9, 21.812130e-3,  0.000000e-3,     0.391,     0.000,     0.750,     0.000,     0.368,    -0.000,     0.855,    -0.060,    -0.120,     0.001,     0.854,    -0.026,     0.000,     0.859,     0.000,     0.000,     0.000,     0.000,    -0.117,     0.009,     0.007,     0.836,     0.000,    -0.074,     0.000,     0.750,     0.000,     0.750,     0.750,     0.750,     0.000,     0.750
    22.230e-9, 23.746548e-3,  0.000000e-3,     0.473,     0.000,     0.750,     0.000,     0.371,     0.000,     0.860,    -0.091,    -0.109,     0.003,     0.860,    -0.066,     0.000,     0.841,     0.000,     0.000,     0.000,     0.000,    -0.109,     0.010,     0.011,     0.859,     0.000,    -0.098,     0.000,     0.750,     0.000,     0.750,     0.750,     0.750,     0.000,     0.750
    22.240e-9, 22.833318e-3,  0.000000e-3,     0.559,     0.000,     0.750,     0.002,     0.379,     0.000,     0.844,    -0.110,    -0.089,     0.006,     0.845,    -0.094,     0.000,     0.807,     0.000,     0.000,     0.000,     0.000,    -0.091,     0.009,     0.016,     0.859,     0.000,    -0.111,     0.000,     0.750,     0.000,     0.750,     0.750,     0.750,     0.000,     0.750
    22.250e-9, 20.691848e-3,  0.000000e-3,     0.647,     0.000,     0.750,     0.009,     0.388,     0.000,     0.812,    -0.120,    -0.065,     0.007,     0.813,    -0.111,     0.000,     0.760,     0.000,     0.000,     0.000,     0.000,    -0.067,     0.010,     0.019,     0.839,     0.000,    -0.114,     0.000,     0.750,     0.000,     0.750,     0.750,     0.750,     0.750,     0.750
    22.260e-9, 16.795195e-3,  0.000000e-3,     0.737,     0.000,     0.750,     0.028,     0.395,     0.000,     0.768,    -0.123,    -0.038,     0.009,     0.769,    -0.119,     0.000,     0.723,     0.000,     0.000,     0.000,     0.000,    -0.042,     0.009,     0.022,     0.804,     0.000,    -0.111,     0.000,     0.750,     0.000,     0.750,     0.750,     0.750,     0.750,     0.750
    22.270e-9, 13.989391e-3,  0.000000e-3,     0.815,     0.000,     0.748,     0.064,     0.400,     0.000,     0.731,    -0.119,    -0.014,     0.009,     0.732,    -0.120,     0.000,     0.705,     0.000,     0.000,     0.000,     0.000,    -0.017,     0.010,     0.023,     0.762,     0.000,    -0.104,     0.000,     0.750,     0.000,     0.750,     0.750,     0.750,     0.750,     0.750
    22.280e-9, 14.273687e-3,  0.000000e-3,     0.852,     0.000,     0.740,     0.112,     0.399,     0.000,     0.708,    -0.104,     0.007,     0.009,     0.709,    -0.115,     0.000,     0.706,     0.000,     0.000,     0.000,     0.000,     0.004,     0.009,     0.023,     0.727,     0.000,    -0.093,     0.000,     0.750,     0.000,     0.750,     0.750,     0.750,     0.750,     0.750
    22.290e-9, 16.767758e-3,  0.000000e-3,     0.865,     0.000,     0.721,     0.170,     0.391,     0.000,     0.701,    -0.072,     0.023,     0.009,     0.701,    -0.100,     0.000,     0.720,     0.000,     0.000,     0.000,     0.000,     0.020,     0.010,     0.021,     0.707,     0.000,    -0.073,     0.000,     0.750,     0.000,     0.750,     0.750,     0.750,     0.750,     0.750
    22.300e-9, 19.511107e-3,  0.000000e-3,     0.855,     0.000,     0.685,     0.236,     0.374,     0.000,     0.706,    -0.028,     0.033,     0.008,     0.708,    -0.070,     0.000,     0.740,     0.000,     0.000,     0.000,     0.000,     0.030,     0.009,     0.018,     0.702,     0.000,    -0.035,     0.000,     0.750,     0.750,     0.750,     0.750,     0.750,     0.000,     0.750
    22.310e-9, 23.337525e-3,  0.000000e-3,     0.829,     0.000,     0.637,     0.309,     0.343,     0.000,     0.721,     0.027,     0.038,     0.006,     0.723,    -0.026,     0.000,     0.757,     0.000,     0.000,     0.000,     0.000,     0.036,     0.010,     0.015,     0.709,     0.000,     0.013,     0.000,     0.750,     0.750,     0.750,     0.750,     0.750,     0.000,     0.750
    22.320e-9, 24.092653e-3,  0.000000e-3,     0.788,     0.000,     0.579,     0.387,     0.302,     0.000,     0.740,     0.091,     0.038,     0.004,     0.742,     0.028,     0.000,     0.768,     0.000,     0.000,     0.000,     0.000,     0.037,     0.009,     0.010,     0.725,     0.000,     0.072,     0.000,     0.750,     0.750,     0.750,     0.750,     0.750,     0.000,     0.750
    22.330e-9, 23.476392e-3,  0.000000e-3,     0.736,     0.000,     0.513,     0.469,     0.253,     0.000,     0.756,     0.162,     0.034,     0.003,     0.758,     0.091,     0.000,     0.770,     0.000,     0.000,     0.000,     0.000,     0.034,     0.010,     0.006,     0.744,     0.000,     0.139,     0.000,     0.750,     0.750,     0.750,     0.750,     0.750,     0.000,     0.750
    22.340e-9, 22.264234e-3,  0.000000e-3,     0.710,     0.000,     0.440,     0.554,     0.200,     0.000,     0.767,     0.238,     0.028,     0.001,     0.768,     0.161,     0.000,     0.764,     0.000,     0.000,     0.000,     0.000,     0.028,     0.009,     0.002,     0.759,     0.000,     0.212,     0.000,     0.750,     0.750,     0.750,     0.750,     0.750,     0.000,     0.750
    22.350e-9, 21.316783e-3,  0.000000e-3,     0.709,     0.000,     0.363,     0.642,     0.147,     0.000,     0.770,     0.319,     0.021,    -0.000,     0.770,     0.237,     0.000,     0.756,     0.000,     0.000,     0.000,     0.000,     0.021,     0.010,    -0.001,     0.768,     0.000,     0.290,     0.000,     0.750,     0.750,     0.750,     0.750,     0.750,     0.750,     0.750
    22.360e-9, 20.077578e-3,  0.000000e-3,     0.727,     0.000,     0.281,     0.733,     0.096,     0.000,     0.766,     0.403,     0.013,    -0.001,     0.765,     0.318,     0.000,     0.748,     0.000,     0.000,     0.000,     0.000,     0.013,     0.009,    -0.003,     0.769,     0.000,     0.372,     0.000,     0.750,     0.750,     0.750,     0.750,     0.750,     0.750,     0.750
    22.370e-9, 19.026430e-3,  0.000000e-3,     0.751,     0.000,     0.195,     0.812,     0.051,     0.000,     0.759,     0.491,     0.005,    -0.002,     0.757,     0.402,     0.000,     0.742,     0.000,     0.000,     0.000,     0.000,     0.006,     0.010,    -0.005,     0.765,     0.000,     0.458,     0.000,     0.750,     0.750,     0.750,     0.750,     0.750,     0.750,     0.750
    22.380e-9, 18.449283e-3,  0.000000e-3,     0.767,     0.000,     0.107,     0.849,     0.013,     0.000,     0.751,     0.581,    -0.001,    -0.003,     0.750,     0.489,     0.000,     0.741,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.009,    -0.006,     0.757,     0.000,     0.546,     0.000,     0.750,     0.750,     0.750,     0.750,     0.750,     0.750,     0.750
    22.390e-9, 18.143047e-3,  0.000000e-3,     0.769,     0.000,     0.022,     0.862,    -0.018,     0.000,     0.745,     0.673,    -0.006,    -0.003,     0.744,     0.579,     0.000,     0.743,     0.000,     0.000,     0.000,     0.000,    -0.005,     0.010,    -0.007,     0.749,     0.000,     0.637,     0.000,     0.750,     0.750,     0.750,     0.750,     0.750,     0.750,     0.750
    22.400e-9, 16.485068e-3,  0.000000e-3,     0.760,     0.000,    -0.046,     0.853,    -0.042,     0.000,     0.742,     0.766,    -0.009,    -0.003,     0.741,     0.670,     0.000,     0.747,     0.000,     0.000,     0.000,     0.000,    -0.009,     0.009,    -0.007,     0.744,     0.000,     0.729,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
    22.410e-9, 41.724770e-3,  0.000000e-3,     0.749,     0.000,    -0.092,     0.826,    -0.060,     0.000,     0.742,     0.829,    -0.012,    -0.003,     0.742,     0.764,     0.000,     0.751,     0.000,     0.000,     0.000,     0.000,    -0.011,     0.010,    -0.007,     0.741,     0.000,     0.807,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
    22.420e-9, 39.746892e-3,  0.000000e-3,     0.742,     0.000,    -0.114,     0.786,    -0.069,     0.000,     0.744,     0.859,    -0.013,    -0.003,     0.744,     0.828,     0.000,     0.753,     0.000,     0.000,     0.000,     0.000,    -0.012,     0.009,    -0.006,     0.742,     0.000,     0.844,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
    22.430e-9, 37.378900e-3,  0.000000e-3,     0.741,     0.000,    -0.114,     0.749,    -0.072,     0.000,     0.747,     0.864,    -0.013,    -0.002,     0.747,     0.858,     0.000,     0.754,     0.000,     0.000,     0.000,     0.000,    -0.013,     0.010,    -0.006,     0.744,     0.000,     0.858,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
    22.440e-9, 34.383722e-3,  0.000000e-3,     0.746,     0.000,    -0.097,     0.721,    -0.070,     0.000,     0.750,     0.850,    -0.011,    -0.002,     0.750,     0.864,     0.000,     0.753,     0.000,     0.000,     0.000,     0.000,    -0.012,     0.009,    -0.005,     0.747,     0.000,     0.849,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
    22.450e-9, 31.455500e-3,  0.000000e-3,     0.751,     0.000,    -0.071,     0.695,    -0.067,     0.000,     0.752,     0.819,    -0.003,    -0.002,     0.752,     0.850,     0.000,     0.751,     0.000,     0.000,     0.000,     0.000,    -0.011,     0.010,    -0.004,     0.750,     0.000,     0.822,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000
    22.460e-9, 28.353641e-3,  0.000000e-3,     0.754,     0.000,    -0.041,     0.667,    -0.061,     0.000,     0.753,     0.785,     0.020,    -0.001,     0.754,     0.821,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,    -0.008,     0.009,    -0.004,     0.752,     0.000,     0.791,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000
    22.470e-9, 27.754641e-3,  0.000000e-3,     0.754,     0.000,    -0.013,     0.630,    -0.054,     0.000,     0.755,     0.757,     0.058,    -0.001,     0.755,     0.793,     0.000,     0.749,     0.000,     0.000,     0.000,     0.000,     0.002,     0.010,    -0.003,     0.753,     0.000,     0.763,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000
    22.480e-9, 26.435310e-3,  0.000000e-3,     0.752,     0.000,     0.010,     0.579,    -0.045,     0.000,     0.754,     0.733,     0.108,    -0.001,     0.754,     0.769,     0.000,     0.748,     0.000,     0.000,     0.000,     0.000,     0.027,     0.009,    -0.002,     0.753,     0.000,     0.741,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000
    22.490e-9, 24.535353e-3,  0.000000e-3,     0.749,     0.000,     0.027,     0.519,    -0.035,     0.000,     0.750,     0.709,     0.167,    -0.000,     0.749,     0.745,     0.000,     0.749,     0.000,     0.000,     0.000,     0.000,     0.068,     0.010,    -0.001,     0.748,     0.000,     0.718,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000
    22.500e-9, 22.872565e-3,  0.000000e-3,     0.748,     0.000,     0.038,     0.452,    -0.025,     0.000,     0.737,     0.681,     0.235,    -0.000,     0.735,     0.716,     0.000,     0.749,     0.000,     0.000,     0.000,     0.000,     0.119,     0.009,    -0.000,     0.735,     0.000,     0.692,     0.750,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.000
    22.510e-9, 20.200153e-3,  0.000000e-3,     0.748,     0.000,     0.042,     0.378,    -0.014,    -0.000,     0.714,     0.644,     0.308,     0.000,     0.710,     0.679,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.180,     0.010,     0.000,     0.710,     0.000,     0.657,     0.750,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.000
    22.520e-9, 14.836980e-3,  0.000000e-3,     0.749,     0.000,     0.040,     0.300,    -0.005,    -0.000,     0.675,     0.595,     0.387,     0.000,     0.669,     0.629,     0.000,     0.751,     0.000,     0.000,     0.000,     0.000,     0.248,     0.009,     0.001,     0.670,     0.000,     0.609,     0.750,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.000
    22.530e-9, 20.743917e-3,  0.000000e-3,     0.750,     0.000,     0.034,     0.217,     0.003,    -0.000,     0.625,     0.536,     0.469,     0.000,     0.617,     0.570,    -0.000,     0.751,     0.000,     0.000,     0.000,     0.000,     0.323,     0.010,     0.001,     0.618,     0.000,     0.552,     0.750,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.000
    22.540e-9, 23.248250e-3,  0.000000e-3,     0.751,     0.000,     0.025,     0.131,     0.009,    -0.000,     0.565,     0.470,     0.555,     0.000,     0.556,     0.503,    -0.000,     0.751,     0.000,     0.000,     0.000,     0.000,     0.402,     0.009,     0.001,     0.557,     0.000,     0.487,     0.750,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.000
    22.550e-9, 22.676761e-3,  0.000000e-3,     0.751,     0.000,     0.015,     0.043,     0.013,    -0.000,     0.498,     0.396,     0.644,     0.000,     0.487,     0.430,    -0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.485,     0.010,     0.001,     0.489,     0.000,     0.414,     0.750,     0.750,     0.750,     0.000,     0.000,     0.000,     0.750,     0.000
    22.560e-9, 19.504950e-3,  0.000000e-3,     0.751,     0.000,     0.005,    -0.031,     0.015,    -0.000,     0.424,     0.318,     0.735,     0.000,     0.413,     0.351,    -0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.572,     0.009,     0.001,     0.415,     0.000,     0.337,     0.750,     0.750,     0.750,     0.000,     0.000,     0.000,     0.750,     0.000
    22.570e-9, 16.864550e-3,  0.000000e-3,     0.750,     0.000,    -0.003,    -0.084,     0.016,    -0.000,     0.345,     0.236,     0.811,     0.000,     0.333,     0.269,    -0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.661,     0.010,     0.001,     0.336,     0.000,     0.255,     0.750,     0.750,     0.750,     0.000,     0.000,     0.000,     0.750,     0.000
    22.580e-9, 14.741481e-3,  0.000000e-3,     0.750,     0.000,    -0.009,    -0.111,     0.015,    -0.000,     0.263,     0.155,     0.846,     0.000,     0.251,     0.186,    -0.000,     0.750,     0.003,     0.000,     0.000,     0.000,     0.752,     0.009,     0.001,     0.254,     0.000,     0.174,     0.750,     0.750,     0.750,     0.000,     0.000,     0.000,     0.750,     0.000
    22.590e-9, 13.040884e-3,  0.000000e-3,     0.750,     0.000,    -0.013,    -0.114,     0.014,    -0.000,     0.181,     0.081,     0.858,     0.000,     0.173,     0.109,    -0.000,     0.750,     0.015,     0.000,     0.000,     0.000,     0.819,     0.010,     0.001,     0.176,     0.000,     0.099,     0.750,     0.750,     0.750,     0.000,     0.000,     0.000,     0.750,     0.000
    22.600e-9, 17.974361e-3,  0.000000e-3,     0.746,     0.000,    -0.014,    -0.101,     0.011,    -0.000,     0.106,     0.017,     0.848,     0.000,     0.100,     0.041,    -0.000,     0.750,     0.043,     0.000,     0.000,     0.000,     0.850,     0.009,     0.001,     0.104,     0.000,     0.033,     0.750,     0.750,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000
    22.610e-9, 25.481382e-3,  0.000000e-3,     0.735,     0.000,    -0.013,    -0.077,     0.008,    -0.000,     0.040,    -0.035,     0.821,     0.000,     0.036,    -0.016,    -0.000,     0.750,     0.085,     0.000,     0.000,     0.000,     0.857,     0.010,     0.005,     0.039,     0.000,    -0.022,     0.750,     0.750,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000
    22.620e-9, 27.337683e-3,  0.000000e-3,     0.710,     0.000,    -0.011,    -0.050,     0.006,     0.000,    -0.016,    -0.074,     0.780,    -0.000,    -0.018,    -0.060,     0.000,     0.750,     0.138,     0.000,     0.000,     0.000,     0.844,     0.009,     0.014,    -0.015,     0.000,    -0.064,     0.750,     0.750,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000
    22.630e-9, 29.051176e-3,  0.000000e-3,     0.669,     0.000,    -0.008,    -0.026,     0.003,     0.000,    -0.059,    -0.099,     0.737,    -0.000,    -0.059,    -0.091,     0.000,     0.750,     0.200,     0.000,     0.000,     0.000,     0.814,     0.010,     0.028,    -0.056,     0.000,    -0.093,     0.750,     0.750,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000
    22.640e-9, 28.662248e-3,  0.000000e-3,     0.618,     0.000,    -0.005,    -0.005,     0.001,     0.000,    -0.088,    -0.111,     0.712,    -0.000,    -0.087,    -0.108,     0.000,     0.750,     0.269,     0.000,     0.000,     0.000,     0.770,     0.009,     0.043,    -0.084,     0.000,    -0.110,     0.750,     0.750,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000
    22.650e-9, 27.154319e-3,  0.000000e-3,     0.557,     0.000,    -0.002,     0.014,    -0.001,     0.000,    -0.103,    -0.111,     0.705,    -0.000,    -0.102,    -0.113,     0.000,     0.750,     0.339,     0.000,     0.000,     0.000,     0.731,     0.010,     0.056,    -0.100,     0.000,    -0.118,     0.750,     0.750,     0.000,     0.750,     0.000,     0.000,     0.750,     0.000
    22.660e-9, 23.217283e-3,  0.000000e-3,     0.489,     0.000,     0.001,     0.034,    -0.003,     0.000,    -0.107,    -0.101,     0.715,    -0.000,    -0.105,    -0.107,     0.000,     0.750,     0.401,     0.000,     0.000,     0.000,     0.709,     0.009,     0.067,    -0.103,     0.000,    -0.118,     0.750,     0.750,     0.000,     0.750,     0.000,     0.000,     0.750,     0.000
    22.670e-9, 19.845810e-3,  0.000000e-3,     0.414,     0.000,     0.003,     0.063,    -0.004,     0.000,    -0.101,    -0.085,     0.734,    -0.000,    -0.099,    -0.094,     0.000,     0.750,     0.453,     0.000,     0.000,     0.000,     0.706,     0.010,     0.073,    -0.098,     0.000,    -0.114,     0.750,     0.750,     0.000,     0.750,     0.000,     0.000,     0.750,     0.000
    22.680e-9, 16.613907e-3,  0.000000e-3,     0.335,     0.000,     0.004,     0.108,    -0.004,     0.000,    -0.088,    -0.065,     0.753,    -0.000,    -0.085,    -0.075,     0.000,     0.750,     0.494,     0.000,     0.001,     0.000,     0.718,     0.009,     0.076,    -0.085,     0.000,    -0.104,     0.750,     0.750,     0.000,     0.750,     0.000,     0.000,     0.750,     0.000
    22.690e-9, 16.405549e-3,  0.000000e-3,     0.252,     0.000,     0.005,     0.163,    -0.004,     0.000,    -0.070,    -0.044,     0.766,    -0.000,    -0.068,    -0.054,     0.000,     0.749,     0.523,     0.000,     0.011,     0.000,     0.737,     0.010,     0.075,    -0.068,     0.000,    -0.086,     0.750,     0.750,     0.000,     0.750,     0.000,     0.000,     0.750,     0.000
    22.700e-9, 15.821897e-3,  0.000000e-3,     0.166,     0.000,     0.005,     0.226,    -0.004,     0.000,    -0.050,    -0.024,     0.769,    -0.000,    -0.048,    -0.033,     0.000,     0.743,     0.539,     0.000,     0.038,     0.000,     0.755,     0.009,     0.069,    -0.049,     0.000,    -0.052,     0.750,     0.750,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000
    22.710e-9, 17.924333e-3,  0.000000e-3,     0.077,     0.000,     0.005,     0.296,    -0.003,     0.000,    -0.031,    -0.006,     0.765,    -0.000,    -0.029,    -0.014,     0.000,     0.730,     0.539,     0.000,     0.079,     0.000,     0.767,     0.010,     0.059,    -0.030,     0.000,    -0.006,     0.750,     0.750,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000
    22.720e-9, 19.537181e-3,  0.000000e-3,    -0.004,     0.000,     0.005,     0.373,    -0.003,     0.000,    -0.013,     0.008,     0.756,    -0.000,    -0.012,     0.002,     0.000,     0.709,     0.525,     0.000,     0.132,     0.000,     0.769,     0.009,     0.047,    -0.013,     0.000,     0.051,     0.750,     0.750,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000
    22.730e-9, 20.656729e-3,  0.000000e-3,    -0.065,     0.000,     0.005,     0.453,    -0.002,     0.000,     0.003,     0.019,     0.748,    -0.000,     0.003,     0.015,     0.000,     0.676,     0.500,     0.000,     0.193,     0.000,     0.764,     0.010,     0.034,     0.002,     0.000,     0.116,     0.750,     0.750,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000
    22.740e-9, 20.415163e-3,  0.000000e-3,    -0.102,     0.000,     0.013,     0.538,    -0.001,     0.000,     0.014,     0.026,     0.742,     0.000,     0.015,     0.024,     0.000,     0.634,     0.466,     0.000,     0.262,     0.000,     0.755,     0.009,     0.020,     0.013,     0.000,     0.188,     0.750,     0.750,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000
    22.750e-9, 20.083217e-3,  0.000000e-3,    -0.114,     0.000,     0.038,     0.625,    -0.000,     0.000,     0.023,     0.030,     0.741,     0.000,     0.022,     0.029,     0.000,     0.582,     0.426,     0.000,     0.337,     0.000,     0.747,     0.010,     0.008,     0.022,     0.000,     0.265,     0.750,     0.750,     0.750,     0.750,     0.000,     0.000,     0.750,     0.000
    22.760e-9, 19.062890e-3,  0.000000e-3,    -0.105,     0.000,     0.078,     0.715,     0.000,    -0.000,     0.027,     0.031,     0.744,     0.000,     0.027,     0.031,     0.000,     0.524,     0.386,     0.000,     0.416,     0.000,     0.742,     0.009,    -0.002,     0.026,     0.000,     0.346,     0.750,     0.750,     0.750,     0.750,     0.000,     0.000,     0.750,     0.000
    22.770e-9, 18.884083e-3,  0.000000e-3,    -0.081,     0.000,     0.129,     0.801,     0.001,    -0.000,     0.029,     0.029,     0.748,     0.000,     0.029,     0.030,     0.000,     0.462,     0.346,     0.000,     0.500,     0.000,     0.741,     0.010,    -0.010,     0.028,     0.000,     0.431,     0.750,     0.750,     0.750,     0.750,     0.000,     0.000,     0.750,     0.000
    22.780e-9, 18.040121e-3,  0.000000e-3,    -0.049,     0.000,     0.189,     0.841,     0.001,    -0.000,     0.028,     0.025,     0.751,     0.000,     0.028,     0.027,     0.000,     0.401,     0.311,     0.000,     0.586,     0.000,     0.743,     0.009,    -0.015,     0.027,     0.000,     0.519,     0.750,     0.750,     0.750,     0.750,     0.000,     0.000,     0.750,     0.000
    22.790e-9, 16.786901e-3,  0.000000e-3,    -0.017,     0.000,     0.257,     0.858,     0.001,    -0.000,     0.026,     0.021,     0.754,     0.000,     0.025,     0.023,     0.000,     0.343,     0.280,     0.000,     0.676,     0.000,     0.746,     0.010,    -0.019,     0.025,     0.000,     0.609,     0.750,     0.750,     0.750,     0.750,     0.000,     0.000,     0.750,     0.000
    22.800e-9, 13.679313e-3,  0.000000e-3,     0.011,     0.000,     0.331,     0.851,     0.001,    -0.000,     0.022,     0.015,     0.754,     0.000,     0.021,     0.018,     0.000,     0.292,     0.257,     0.000,     0.767,     0.000,     0.750,     0.009,    -0.021,     0.021,     0.000,     0.702,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750
